Artist,Album,Genre,Date,Best New Albums Flag,Timestamp
03 Greedo,Project T-Pain,Rap,2024-01-11,0.0,2024-02-11 21:50:42.090090
Ariel Kalma,The Closest Thing to Silence,Experimental,2024-02-13,0.0,2024-02-13 20:43:34.669072
Au Pairs,Playing With a Different Sex,Rock,2023-12-17,0.0,2024-02-11 21:50:42.090090
Bob Dylan,Desire,Rock,2024-01-14,0.0,2024-02-11 21:50:42.090090
Brian Eno,Ambient 1: Music for Airports,Electronic,2024-01-07,0.0,2024-02-11 21:50:42.090090
Brion Gysin,Junk,Rock,2024-01-30,0.0,2024-02-11 21:50:42.090090
Brittany Howard,What Now,Rock,2024-02-13,1.0,2024-02-13 20:43:34.669072
Chuquimamani-Condori,DJ E,Experimental,2024-01-09,0.0,2024-02-11 21:50:42.090090
Cocteau Twins,Head Over Heels,Rock,2024-01-21,0.0,2024-02-11 21:50:42.090090
Dorothy Carter,Waillee Waillee,Folk/Country,2023-12-23,0.0,2024-02-11 21:50:42.090090
Helado Negro,Phasor,Electronic,2024-02-09,1.0,2024-02-11 21:50:42.090090
Jake Muir,Bathhouse Blues,Electronic,2024-01-29,0.0,2024-02-11 21:50:42.090090
Jeff Mills,"Live at the Liquid Room, Tokyo",Electronic,2024-02-04,0.0,2024-02-11 21:50:42.090090
Kali Uchis,Orquídeas,Pop/R&B,2024-01-12,1.0,2024-02-11 21:50:42.090090
Lou Reed,Hudson River Wind Meditations,Rock,2024-01-13,0.0,2024-02-11 21:50:42.090090
Mercury Rev,Yerself Is Steam,Rock,2024-02-11,0.0,2024-02-11 21:50:42.090090
Microstoria,init ding + _snd,Electronic,2024-02-07,0.0,2024-02-11 21:50:42.090090
Montañera,A Flor de Piel,Electronic,2024-01-10,0.0,2024-02-11 21:50:42.090090
Paul McCartney,Band on the Run (50th Anniversary Edition),Rock,2024-02-08,0.0,2024-02-11 21:50:42.090090
Pauline Anna Strom,"Echoes, Spaces, Lines",Electronic,2024-01-06,0.0,2024-02-11 21:50:42.090090
Philip Glass,Philip Glass Solo,Experimental,2024-01-31,0.0,2024-02-11 21:50:42.090090
Roy Montgomery,Temple IV,Rock,2024-01-28,0.0,2024-02-11 21:50:42.090090
Swervedriver,99th Dream,Rock,2024-01-20,0.0,2024-02-11 21:50:42.090090
The Smile,Wall of Eyes,Rock,2024-01-25,1.0,2024-02-11 21:50:42.090090
Vijay Iyer,Compassion,Jazz,2024-02-05,0.0,2024-02-11 21:50:42.090090
Xaviersobased,Keep It Goin Xav,Rap,2024-01-24,1.0,2024-02-11 21:50:42.090090
